"id","titulo","ano","issn","titulo_serie","editora","autor","url"
9780955251214,"Long-Chain Omega-3 Specialty Oils",2007,,,"Oily Press","Breivik, H","http://www.sciencedirect.com/science/book/9780955251214"
9780955251207,"Antioxidants in Food and Biology",2007,,,"Oily Press","Frankel, E N","http://www.sciencedirect.com/science/book/9780955251207"
9781845690588,"Food Preservation by Pulsed Electric Fields",2007,,,"Woodhead Publishing","Lelieveld, H L M","http://www.sciencedirect.com/science/book/9781845690588"
9781845690601,"Cheese Problems Solved",2007,,,"Woodhead Publishing","McSweeney, P L H","http://www.sciencedirect.com/science/book/9781845690601"
9781845690595,"Microbiological Analysis of Red Meat, Poultry and Eggs",2007,,,"Woodhead Publishing","Mead, G","http://www.sciencedirect.com/science/book/9781845690595"
9781845691516,"Understanding and Controlling the Microstructure of Complex Foods",2007,,,"Woodhead Publishing","McClements, D J","http://www.sciencedirect.com/science/book/9781845691516"
9781845691530,"Functional Dairy Products",2007,,,"Woodhead Publishing","Saarela, M","http://www.sciencedirect.com/science/book/9781845691530"
9781845690069,"Modelling Microorganisms in Food",2007,,,"Woodhead Publishing","Brul, S","http://www.sciencedirect.com/science/book/9781845690069"
9781845690076,"Improving the Flavour of Cheese",2007,,,"Woodhead Publishing","Weimer, B C","http://www.sciencedirect.com/science/book/9781845690076"
9781845690090,"Understanding Consumers of Food Products",2007,,,"Woodhead Publishing","Frewer, L","http://www.sciencedirect.com/science/book/9781845690090"
9781845690106,"Handbook of Organic Food Safety and Quality",2007,,,"Woodhead Publishing","Cooper, J","http://www.sciencedirect.com/science/book/9781845690106"
9781845690281,"Managing Allergens in Food",2007,,,"Woodhead Publishing","Mills, C","http://www.sciencedirect.com/science/book/9781845690281"
9781845690304,"Novel Food Ingredients for Weight Control",2007,,,"Woodhead Publishing","Henry, C J K","http://www.sciencedirect.com/science/book/9781845690304"
9781845690298,"Chemical Migration and Food Contact Materials",2007,,,"Woodhead Publishing","Barnes, K","http://www.sciencedirect.com/science/book/9781845690298"
9781845690182,"Reducing Salt in Foods",2007,,,"Woodhead Publishing","Kilcast, D","http://www.sciencedirect.com/science/book/9781845690182"
9781845690137,"Maximising the Value of Marine By-Products",2007,,,"Woodhead Publishing","Shahidi, F","http://www.sciencedirect.com/science/book/9781845690137"
9781845691325,"Novel Enzyme Technology for Food Applications",2007,,,"Woodhead Publishing","Rastall, R","http://www.sciencedirect.com/science/book/9781845691325"
9781845690748,"Modifying Flavour in Food",2007,,,"Woodhead Publishing","Taylor, A. J.","http://www.sciencedirect.com/science/book/9781845690748"
9781845692131,"Tamime and Robinson's Yoghurt",2007,,,"Woodhead Publishing","Tamime, A. Y.","http://www.sciencedirect.com/science/book/9781845692131"
9781845690724,"Consumer-Led Food Product Development",2007,,,"Woodhead Publishing","MacFie, H","http://www.sciencedirect.com/science/book/9781845690724"
9781845690250,"Handbook of Waste Management and Co-Product Recovery in Food Processing",2007,,,"Woodhead Publishing","Waldron, K W","http://www.sciencedirect.com/science/book/9781845690250"
9781904275275,"Enzymes",2007,,,"Woodhead Publishing","Palmer, T","http://www.sciencedirect.com/science/book/9781904275275"
9780123705181,"Evolution of Primary Producers in the Sea",2007,,,"Academic Press","Paul G. Falkowski and Andrew H. Knoll","http://www.sciencedirect.com/science/book/9780123705181"
9780444521323,"Comprehensive and Molecular Phytopathology",2007,"0928-3420","Studies in Plant Science","Elsevier Science","Yu.T. Dyakov, V.G. Dzhavakhiya and T. Korpela","http://www.sciencedirect.com/science/book/9780444521323"
9780444506078,"Microirrigation for Crop Production",2007,"0167-4137","Developments in Agricultural Engineering","Elsevier Science","Freddie R. Lamm, James E. Ayars, Francis S. Nakayama","http://www.sciencedirect.com/science/book/9780444506078"
9780124555211,"Ecological Geography of the Sea (Second Edition)",2007,,,"Academic Press","Alan R. Longhurst","http://www.sciencedirect.com/science/book/9780124555211"
9780444510181,"Potato Biology and Biotechnology",2007,,,"Elsevier Science","Dick Vreugdenhil, John Bradshaw, Christiane Gebhardt, Francine Govers, Donald K.L. Mackerron, Mark A. Taylor and Heather A. Ross","http://www.sciencedirect.com/science/book/9780444510181"
9780120887750,"The Rhizosphere",2007,,,"Academic Press","Zoe G. Cardon and Julie L. Whitbeck","http://www.sciencedirect.com/science/book/9780120887750"
9780125173674,"The Migration Ecology of Birds",2007,,,"Academic Press","Newton, Ian","http://www.sciencedirect.com/science/book/9780125173674"
9780123725769,"Primate Anatomy (Third Edition)",2007,,,"Academic Press","Friderun Ankel-Simons","http://www.sciencedirect.com/science/book/9780123725769"
9780120887781,"Plant Disturbance Ecology",2007,,,"Academic Press","Edward A. Johnson and Kiyoko Miyanishi","http://www.sciencedirect.com/science/book/9780120887781"
9780444529671,"Cork",2007,,,"Elsevier Science","Pereira, Helena","http://www.sciencedirect.com/science/book/9780444529671"
9780123706416,"Dynamic Aquaria (Third Edition)",2007,,,"Academic Press","Adey, Walter","http://www.sciencedirect.com/science/book/9780123706416"
9780444528575,"Biology of the Nitrogen Cycle",2007,,,"Elsevier Science","Hermann Bothe, Stuart J. Ferguson and William E. Newton","http://www.sciencedirect.com/science/book/9780444528575"
9780123725691,"The Ecology of Sandy Shores (Second Edition)",2006,,,"Academic Press","McLachlan, Anton","http://www.sciencedirect.com/science/book/9780123725691"
9780444529589,"Digital Soil Mapping",2006,"0166-2481","Developments in Soil Science","Elsevier Science","P. Lagacherie, A.B. McBratney, M. Voltz","http://www.sciencedirect.com/science/book/9780444529589"
9780444529404,"Edible Sea Urchins: Biology and Ecology",2007,"0167-9309","Developments in Aquaculture and Fisheries Science","Elsevier Science","John M. Lawrence","http://www.sciencedirect.com/science/book/9780444529404"
9780444520852,"Systems Biology",2007,,,"Elsevier Science","Fred C. Boogerd, Frank J. Bruggeman, Jan-Hendrik S. Hofmeyr and Hans V. Westerhoff","http://www.sciencedirect.com/science/book/9780444520852"
